Name,Details,State/ Territory,Category,Policy/Incentive Type,Created,Last Updated
Solar Energy Facility Exemption,https://programs.dsireusa.org/system/program/detail/22686/solar-energy-facility-exemption,MI,Financial Incentive,Property Tax Incentive,08/15/2024,08/15/2024
Solar and Wind Energy Property Tax Exemption,https://programs.dsireusa.org/system/program/detail/22141/solar-and-wind-energy-property-tax-exemption,ME,Financial Incentive,Property Tax Incentive,03/10/2021,01/02/2025
Renewable Energy Systems Property Tax Exemption,https://programs.dsireusa.org/system/program/detail/158/renewable-energy-systems-property-tax-exemption,NV,Financial Incentive,Property Tax Incentive,01/01/2000,03/21/2025
Renewable Energy Systems Property Tax Exemption,https://programs.dsireusa.org/system/program/detail/173/renewable-energy-systems-property-tax-exemption,TX,Financial Incentive,Property Tax Incentive,01/01/2000,03/24/2023
Renewable Energy Systems Exemption,https://programs.dsireusa.org/system/program/detail/154/renewable-energy-systems-exemption,MT,Financial Incentive,Property Tax Incentive,01/01/2000,10/28/2024
Renewable Energy Systems Exemption,https://programs.dsireusa.org/system/program/detail/165/renewable-energy-systems-exemption,OR,Financial Incentive,Property Tax Incentive,01/01/2000,10/29/2024
Renewable Energy System Exemption,https://programs.dsireusa.org/system/program/detail/4068/renewable-energy-system-exemption,SD,Financial Incentive,Property Tax Incentive,04/07/2010,10/28/2024
Renewable Energy Property Tax Exemption,https://programs.dsireusa.org/system/program/detail/54/renewable-energy-property-tax-exemption,IN,Financial Incentive,Property Tax Incentive,01/01/2000,08/15/2024
Renewable Energy Property Tax Exemption,https://programs.dsireusa.org/system/program/detail/75/renewable-energy-property-tax-exemption,KS,Financial Incentive,Property Tax Incentive,01/01/2000,10/09/2024
Renewable Energy Property Tax Exemption,https://programs.dsireusa.org/system/program/detail/146/renewable-energy-property-tax-exemption,MA,Financial Incentive,Property Tax Incentive,01/01/2000,01/02/2025
Renewable Energy Property Tax Exemption,https://programs.dsireusa.org/system/program/detail/160/renewable-energy-property-tax-exemption,ND,Financial Incentive,Property Tax Incentive,01/01/2000,10/28/2024
Renewable Energy Property Tax Assessment,https://programs.dsireusa.org/system/program/detail/2388/renewable-energy-property-tax-assessment,CO,Financial Incentive,Property Tax Incentive,02/16/2007,12/04/2023
Renewable Energy and Energy Storage Property Tax Exemption,https://programs.dsireusa.org/system/program/detail/22419/renewable-energy-and-energy-storage-property-tax-exemption,SC,Financial Incentive,Property Tax Incentive,10/05/2021,03/21/2025
Qualified Energy Property Tax Exemption for Projects over 250 kW (Payment in Lieu),https://programs.dsireusa.org/system/program/detail/4311/qualified-energy-property-tax-exemption-for-projects-over-250-kw-payment-in-lieu,OH,Financial Incentive,Property Tax Incentive,08/24/2010,08/16/2024
Qualified Energy Property Tax Exemption for Projects 250 kW or Less,https://programs.dsireusa.org/system/program/detail/4217/qualified-energy-property-tax-exemption-for-projects-250-kw-or-less,OH,Financial Incentive,Property Tax Incentive,06/22/2010,08/16/2024
Puerto Rico - Property Tax Exemption for Solar and Renewable Energy Equipment,https://programs.dsireusa.org/system/program/detail/2842/puerto-rico-property-tax-exemption-for-solar-and-renewable-energy-equipment,PR,Financial Incentive,Property Tax Incentive,01/17/2008,12/04/2023
Property Valuation for Commercial Wind Energy Equipment,https://programs.dsireusa.org/system/program/detail/2767/property-valuation-for-commercial-wind-energy-equipment,IL,Financial Incentive,Property Tax Incentive,10/26/2007,10/15/2024
"Property Tax Exemption for Wind, Solar, and Geothermal Energy Producers",https://programs.dsireusa.org/system/program/detail/2786/property-tax-exemption-for-wind-solar-and-geothermal-energy-producers,ID,Financial Incentive,Property Tax Incentive,03/30/2007,10/28/2024
Property Tax Exemption for Solar and Wind Energy Systems,https://programs.dsireusa.org/system/program/detail/2542/property-tax-exemption-for-solar-and-wind-energy-systems,MD,Financial Incentive,Property Tax Incentive,05/24/2007,03/14/2025
Property Tax Exemption for Residential Solar Systems,https://programs.dsireusa.org/system/program/detail/4043/property-tax-exemption-for-residential-solar-systems,NM,Financial Incentive,Property Tax Incentive,03/24/2010,03/24/2023
Property Tax Exemption for Residential Renewable Energy Equipment,https://programs.dsireusa.org/system/program/detail/4210/property-tax-exemption-for-residential-renewable-energy-equipment,CO,Financial Incentive,Property Tax Incentive,06/16/2010,03/17/2025
Property Tax Exemption for Renewable Energy Systems,https://programs.dsireusa.org/system/program/detail/3100/property-tax-exemption-for-renewable-energy-systems,NJ,Financial Incentive,Property Tax Incentive,10/24/2008,03/14/2025
Property Tax Exemption for Renewable Energy Systems,https://programs.dsireusa.org/system/program/detail/184/property-tax-exemption-for-renewable-energy-systems,IA,Financial Incentive,Property Tax Incentive,01/01/2000,08/15/2024
Property Tax Exemption for Renewable Energy Systems,https://programs.dsireusa.org/system/program/detail/240/property-tax-exemption-for-renewable-energy-systems,CT,Financial Incentive,Property Tax Incentive,01/01/2000,03/20/2023
Property Tax Exemption for Renewable Energy Generation Facilities,https://programs.dsireusa.org/system/program/detail/4946/property-tax-exemption-for-renewable-energy-generation-facilities,NE,Financial Incentive,Property Tax Incentive,08/03/2011,11/12/2024
Property Tax Exemption for Renewable Energy Equipment,https://programs.dsireusa.org/system/program/detail/5882/property-tax-exemption-for-renewable-energy-equipment,RI,Financial Incentive,Property Tax Incentive,08/01/2016,03/23/2023
Property Tax Exclusion for Solar Energy Systems and Solar Plus Storage System,https://programs.dsireusa.org/system/program/detail/558/property-tax-exclusion-for-solar-energy-systems-and-solar-plus-storage-system,CA,Financial Incentive,Property Tax Incentive,04/19/2001,03/18/2025
Property Tax Assessment for Renewable Energy Equipment,https://programs.dsireusa.org/system/program/detail/2984/property-tax-assessment-for-renewable-energy-equipment,AZ,Financial Incentive,Property Tax Incentive,06/24/2008,11/12/2024
Property Tax Assessment for Commercial Wind Farms,https://programs.dsireusa.org/system/program/detail/2369/property-tax-assessment-for-commercial-wind-farms,PA,Financial Incentive,Property Tax Incentive,12/19/2006,07/11/2020
Property Tax Abatement for Solar Electric Systems,https://programs.dsireusa.org/system/program/detail/3036/property-tax-abatement-for-solar-electric-systems,NC,Financial Incentive,Property Tax Incentive,08/11/2008,03/21/2025
Property Tax Abatement for Renewable Energy Property,https://programs.dsireusa.org/system/program/detail/5426/property-tax-abatement-for-renewable-energy-property,FL,Financial Incentive,Property Tax Incentive,07/10/2013,01/02/2025
Prince George's County - Solar and Geothermal Residential Property Tax Credit,https://programs.dsireusa.org/system/program/detail/3106/prince-george-s-county-solar-and-geothermal-residential-property-tax-credit,MD,Financial Incentive,Property Tax Incentive,10/30/2008,07/06/2020
New York City - Property Tax Abatement for Photovoltaic (PV) and Energy Storage Equipment,https://programs.dsireusa.org/system/program/detail/3037/new-york-city-property-tax-abatement-for-photovoltaic-pv-and-energy-storage-equipment,NY,Financial Incentive,Property Tax Incentive,08/11/2008,10/28/2024
Montgomery County - Residential Energy Conservation Property Tax Credit,https://programs.dsireusa.org/system/program/detail/3107/montgomery-county-residential-energy-conservation-property-tax-credit,MD,Financial Incentive,Property Tax Incentive,10/30/2008,07/03/2020
Montgomery County - High Performance Building Property Tax Credit,https://programs.dsireusa.org/system/program/detail/3246/montgomery-county-high-performance-building-property-tax-credit,MD,Financial Incentive,Property Tax Incentive,02/04/2009,07/03/2020
Methane Gas Conversion Property Tax Exemption,https://programs.dsireusa.org/system/program/detail/185/methane-gas-conversion-property-tax-exemption,IA,Financial Incentive,Property Tax Incentive,01/01/2000,10/09/2024
Local Option- Renewable Energy Machinery and Tools Property Tax Exemption,https://programs.dsireusa.org/system/program/detail/5723/local-option-renewable-energy-machinery-and-tools-property-tax-exemption,VA,Financial Incentive,Property Tax Incentive,03/26/2015,10/25/2024
Local Option - Special Assessment of Wind Energy Devices,https://programs.dsireusa.org/system/program/detail/142/local-option-special-assessment-of-wind-energy-devices,IA,Financial Incentive,Property Tax Incentive,01/01/2000,10/09/2024
"Local Option - Solar, Wind & Biomass Energy Systems Exemption",https://programs.dsireusa.org/system/program/detail/192/local-option-solar-wind-biomass-energy-systems-exemption,NY,Financial Incentive,Property Tax Incentive,11/26/2001,10/28/2024
Local Option - Rural Renewable Energy Development Zones,https://programs.dsireusa.org/system/program/detail/5416/local-option-rural-renewable-energy-development-zones,OR,Financial Incentive,Property Tax Incentive,06/10/2013,10/29/2024
Local Option - Residential Property Tax Exemption for Solar,https://programs.dsireusa.org/system/program/detail/85/local-option-residential-property-tax-exemption-for-solar,VA,Financial Incentive,Property Tax Incentive,01/01/2000,10/25/2024
Local Option - Real Property Tax Exemption for Green Buildings,https://programs.dsireusa.org/system/program/detail/5249/local-option-real-property-tax-exemption-for-green-buildings,NY,Financial Incentive,Property Tax Incentive,08/02/2012,10/28/2024
Local Option - Property Tax Exemption for Renewable Energy Systems,https://programs.dsireusa.org/system/program/detail/5423/local-option-property-tax-exemption-for-renewable-energy-systems,CT,Financial Incentive,Property Tax Incentive,01/01/2000,03/20/2023
Local Option - Property Tax Exemption for Renewable Energy Systems,https://programs.dsireusa.org/system/program/detail/4449/local-option-property-tax-exemption-for-renewable-energy-systems,AK,Financial Incentive,Property Tax Incentive,11/11/2010,03/21/2025
Local Option - Property Tax Exemption for Renewable Energy Systems,https://programs.dsireusa.org/system/program/detail/2501/local-option-property-tax-exemption-for-renewable-energy-systems,CO,Financial Incentive,Property Tax Incentive,04/27/2007,12/06/2023
Local Option - Property Tax Exemption for Renewable Energy Systems,https://programs.dsireusa.org/system/program/detail/2801/local-option-property-tax-exemption-for-renewable-energy-systems,RI,Financial Incentive,Property Tax Incentive,11/13/2007,12/06/2023
Local Option - Property Tax Exemption for Renewable Energy Facilities,https://programs.dsireusa.org/system/program/detail/5943/local-option-property-tax-exemption-for-renewable-energy-facilities,AL,Financial Incentive,Property Tax Incentive,11/16/2016,01/02/2025
Local Option - Property Tax Exemption for Renewable Energy and Electrical Energy Storage,https://programs.dsireusa.org/system/program/detail/60/local-option-property-tax-exemption-for-renewable-energy-and-electrical-energy-storage,NH,Financial Incentive,Property Tax Incentive,01/01/2000,06/07/2024
Local Option - Property Tax Exemption,https://programs.dsireusa.org/system/program/detail/45/local-option-property-tax-exemption,VT,Financial Incentive,Property Tax Incentive,01/01/2000,05/22/2024
Local Option - Property Tax Credit for Renewables and Energy Conservation Devices,https://programs.dsireusa.org/system/program/detail/232/local-option-property-tax-credit-for-renewables-and-energy-conservation-devices,MD,Financial Incentive,Property Tax Incentive,01/01/2000,11/20/2024
Local Option - Property Tax Credit for High Performance Buildings,https://programs.dsireusa.org/system/program/detail/2363/local-option-property-tax-credit-for-high-performance-buildings,MD,Financial Incentive,Property Tax Incentive,12/08/2006,03/11/2025
Local Option - Property Tax Assessment for Energy Efficient Buildings,https://programs.dsireusa.org/system/program/detail/2983/local-option-property-tax-assessment-for-energy-efficient-buildings,VA,Financial Incentive,Property Tax Incentive,06/24/2008,10/25/2024
Large Scale Renewable Energy Property Tax Abatement (Nevada State Office of Energy),https://programs.dsireusa.org/system/program/detail/180/large-scale-renewable-energy-property-tax-abatement-nevada-state-office-of-energy,NV,Financial Incentive,Property Tax Incentive,01/01/2000,03/21/2025
Large Commercial Wind and Solar Alternative Taxes,https://programs.dsireusa.org/system/program/detail/2879/large-commercial-wind-and-solar-alternative-taxes,SD,Financial Incentive,Property Tax Incentive,03/06/2008,10/28/2024
Howard County - High Performance and Green Building Property Tax Credit,https://programs.dsireusa.org/system/program/detail/3559/howard-county-high-performance-and-green-building-property-tax-credit,MD,Financial Incentive,Property Tax Incentive,07/24/2009,11/20/2024
Harris County - Property Tax Abatement for Green Commercial Buildings,https://programs.dsireusa.org/system/program/detail/4911/harris-county-property-tax-abatement-for-green-commercial-buildings,TX,Financial Incentive,Property Tax Incentive,07/14/2011,12/06/2023
Harford County - Property Tax Credit for Solar and Geothermal Devices,https://programs.dsireusa.org/system/program/detail/2832/harford-county-property-tax-credit-for-solar-and-geothermal-devices,MD,Financial Incentive,Property Tax Incentive,12/17/2007,07/06/2020
Guam - Photovoltaic Property Tax Exemption,https://programs.dsireusa.org/system/program/detail/22589/guam-photovoltaic-property-tax-exemption,GU,Financial Incentive,Property Tax Incentive,01/04/2024,03/21/2025
Green Energy Property Tax Assessment,https://programs.dsireusa.org/system/program/detail/5216/green-energy-property-tax-assessment,TN,Financial Incentive,Property Tax Incentive,07/06/2012,01/02/2025
Generation Facility Corporate Tax Exemptions,https://programs.dsireusa.org/system/program/detail/978/generation-facility-corporate-tax-exemptions,MT,Financial Incentive,Property Tax Incentive,10/01/2003,10/28/2024
Energy Equipment Property Tax Exemption,https://programs.dsireusa.org/system/program/detail/1683/energy-equipment-property-tax-exemption,AZ,Financial Incentive,Property Tax Incentive,06/26/2006,03/21/2025
Energy Conservation Improvements Property Tax Exemption,https://programs.dsireusa.org/system/program/detail/22072/energy-conservation-improvements-property-tax-exemption,NY,Financial Incentive,Property Tax Incentive,03/27/2019,01/06/2025
Energy Conservation Improvements Property Tax Exemption,https://programs.dsireusa.org/system/program/detail/1596/energy-conservation-improvements-property-tax-exemption,NY,Financial Incentive,Property Tax Incentive,06/12/2006,10/28/2024
Corporate Property Tax Reduction for New/Expanded Generating Facilities,https://programs.dsireusa.org/system/program/detail/496/corporate-property-tax-reduction-for-new-expanded-generating-facilities,MT,Financial Incentive,Property Tax Incentive,10/01/2003,10/28/2024
